hole_area,bound_box_ratio,sim. with 0,sim. with 1,sim. with 2,sim. with 3,sim. with 4,sim. with 5,sim. with 6,sim. with 7,sim. with 8,sim. with 9,label
0.0,1.067,0.72,0.7,0.9,0.7,0.57,0.71,0.64,0.77,0.76,0.73,2
0.0,1.067,0.73,0.68,0.93,0.64,0.52,0.71,0.63,0.8,0.77,0.8,2
0.0,1.067,0.79,0.77,0.84,0.75,0.61,0.8,0.6,0.86,0.77,0.9,2
0.0,1.067,0.76,0.67,0.92,0.67,0.54,0.7,0.66,0.78,0.8,0.78,2
0.0,1.067,0.74,0.73,0.92,0.69,0.6,0.73,0.66,0.82,0.81,0.79,2
0.0,1.067,0.69,0.68,0.8,0.66,0.53,0.63,0.64,0.7,0.71,0.67,2
0.0,1.067,0.7,0.62,0.93,0.65,0.49,0.65,0.61,0.77,0.76,0.71,2
0.0,1.067,0.58,0.63,0.85,0.7,0.57,0.65,0.64,0.68,0.68,0.58,2
0.0,1.067,0.62,0.65,0.8,0.62,0.46,0.62,0.52,0.76,0.66,0.7,2
0.0,1.067,0.71,0.66,0.92,0.62,0.53,0.68,0.63,0.77,0.77,0.75,2
0.0,1.067,0.72,0.73,0.9,0.74,0.62,0.71,0.72,0.77,0.8,0.7,2
0.0,1.067,0.73,0.74,0.89,0.68,0.58,0.73,0.67,0.75,0.78,0.76,2
0.0,1.067,0.68,0.62,0.94,0.63,0.48,0.66,0.6,0.76,0.74,0.71,2
0.0,1.067,0.73,0.75,0.93,0.72,0.61,0.71,0.68,0.8,0.8,0.76,2
4.0,1.067,0.48,0.65,0.72,0.6,0.6,0.65,0.59,0.6,0.59,0.59,2
0.0,1.143,0.63,0.69,0.93,0.71,0.52,0.69,0.6,0.81,0.72,0.7,2
0.0,1.067,0.76,0.73,0.89,0.71,0.56,0.75,0.6,0.82,0.77,0.84,2
0.0,1.067,0.69,0.73,0.94,0.73,0.58,0.7,0.64,0.82,0.78,0.75,2
0.0,1.067,0.77,0.69,0.93,0.67,0.57,0.73,0.66,0.76,0.8,0.79,2
0.0,1.067,0.62,0.64,0.87,0.64,0.52,0.7,0.61,0.7,0.68,0.67,2
0.0,1.067,0.61,0.66,0.93,0.68,0.49,0.66,0.57,0.83,0.69,0.7,2
0.0,1.067,0.51,0.68,0.82,0.66,0.59,0.65,0.59,0.69,0.61,0.59,2
0.0,1.067,0.68,0.72,0.92,0.7,0.54,0.76,0.61,0.83,0.74,0.79,2
0.0,1.067,0.63,0.69,0.79,0.7,0.58,0.69,0.58,0.74,0.66,0.69,2
0.0,1.067,0.67,0.75,0.69,0.91,0.63,0.77,0.69,0.68,0.77,0.69,3
0.0,1.067,0.58,0.7,0.75,0.75,0.53,0.64,0.5,0.77,0.64,0.67,3
0.0,1.067,0.48,0.62,0.5,0.61,0.63,0.66,0.59,0.43,0.64,0.57,3
0.0,1.067,0.6,0.84,0.7,0.83,0.73,0.74,0.69,0.73,0.73,0.7,3
0.0,1.067,0.68,0.73,0.71,0.89,0.57,0.74,0.6,0.72,0.74,0.7,3
0.0,1.143,0.71,0.8,0.68,0.92,0.7,0.83,0.75,0.69,0.8,0.74,3
0.0,1.067,0.65,0.74,0.68,0.78,0.56,0.68,0.62,0.74,0.73,0.72,3
0.0,1.067,0.67,0.75,0.6,0.84,0.56,0.72,0.47,0.73,0.67,0.76,3
0.0,1.067,0.68,0.78,0.68,0.89,0.59,0.79,0.65,0.76,0.76,0.74,3
0.0,1.067,0.71,0.74,0.63,0.9,0.67,0.8,0.67,0.63,0.74,0.69,3
0.0,1.143,0.73,0.72,0.62,0.89,0.68,0.76,0.7,0.56,0.77,0.66,3
0.0,1.143,0.7,0.81,0.65,0.93,0.7,0.83,0.74,0.66,0.8,0.72,3
0.0,1.067,0.6,0.83,0.64,0.85,0.73,0.75,0.69,0.66,0.74,0.69,3
2.0,1.067,0.53,0.7,0.61,0.68,0.66,0.7,0.61,0.54,0.66,0.63,3
0.0,1.067,0.69,0.75,0.66,0.87,0.65,0.73,0.58,0.69,0.71,0.69,3
0.0,1.067,0.65,0.75,0.62,0.82,0.58,0.72,0.64,0.68,0.75,0.69,3
0.0,1.067,0.73,0.75,0.66,0.85,0.72,0.86,0.82,0.6,0.82,0.7,3
0.0,1.067,0.7,0.73,0.65,0.91,0.66,0.76,0.71,0.6,0.78,0.66,3
0.0,1.067,0.62,0.75,0.61,0.87,0.64,0.72,0.6,0.63,0.71,0.67,3
0.0,1.067,0.7,0.68,0.67,0.88,0.58,0.75,0.65,0.64,0.75,0.66,3
0.0,1.143,0.73,0.76,0.6,0.89,0.71,0.83,0.73,0.59,0.76,0.68,3
2.0,1.067,0.66,0.79,0.7,0.89,0.62,0.79,0.56,0.81,0.73,0.8,3
0.0,1.067,0.76,0.75,0.65,0.9,0.6,0.78,0.63,0.71,0.75,0.74,3
0.0,1.067,0.7,0.74,0.6,0.91,0.64,0.8,0.64,0.63,0.73,0.7,3
0.0,1.067,0.75,0.75,0.7,0.87,0.57,0.77,0.65,0.73,0.82,0.8,3
0.0,1.067,0.74,0.68,0.68,0.86,0.57,0.73,0.64,0.68,0.77,0.68,3
0.0,1.143,0.75,0.74,0.64,0.87,0.64,0.74,0.69,0.66,0.78,0.67,3
0.0,1.067,0.63,0.75,0.6,0.9,0.62,0.76,0.61,0.67,0.72,0.68,3
0.0,1.067,0.73,0.75,0.65,0.92,0.58,0.77,0.62,0.74,0.74,0.72,3
0.0,1.067,0.71,0.78,0.66,0.93,0.68,0.83,0.66,0.72,0.74,0.73,3
0.0,1.067,0.75,0.78,0.68,0.91,0.7,0.85,0.76,0.67,0.82,0.74,3
0.0,1.067,0.66,0.79,0.63,0.91,0.62,0.78,0.62,0.73,0.74,0.73,3
0.0,1.067,0.61,0.77,0.61,0.89,0.57,0.75,0.5,0.78,0.65,0.74,3
0.0,1.067,0.68,0.79,0.78,0.8,0.62,0.74,0.62,0.75,0.75,0.76,3
0.0,1.067,0.7,0.71,0.66,0.88,0.62,0.76,0.62,0.68,0.72,0.67,3
0.0,1.067,0.81,0.77,0.68,0.9,0.63,0.81,0.69,0.7,0.81,0.76,3
0.0,1.067,0.67,0.75,0.68,0.89,0.67,0.75,0.64,0.68,0.73,0.68,3
0.0,1.067,0.68,0.8,0.69,0.88,0.65,0.77,0.7,0.75,0.78,0.72,3
0.0,1.067,0.61,0.7,0.73,0.81,0.51,0.69,0.49,0.79,0.65,0.69,3
0.0,1.067,0.68,0.83,0.7,0.87,0.66,0.79,0.64,0.84,0.76,0.8,3
0.0,1.067,0.73,0.76,0.59,0.87,0.74,0.83,0.77,0.58,0.78,0.67,3
0.0,1.067,0.76,0.75,0.67,0.91,0.6,0.78,0.65,0.69,0.78,0.74,3
0.0,1.067,0.66,0.76,0.6,0.84,0.61,0.72,0.52,0.73,0.69,0.76,3
0.0,1.067,0.5,0.75,0.71,0.72,0.5,0.64,0.54,0.76,0.62,0.65,3
0.0,1.067,0.74,0.76,0.65,0.87,0.63,0.79,0.68,0.64,0.78,0.71,3
0.0,1.067,0.78,0.74,0.65,0.88,0.59,0.79,0.63,0.7,0.77,0.76,3
0.0,1.067,0.6,0.76,0.61,0.86,0.61,0.76,0.52,0.74,0.64,0.73,3
0.0,1.143,0.65,0.79,0.65,0.89,0.64,0.78,0.68,0.71,0.76,0.7,3
0.0,1.067,0.71,0.72,0.66,0.91,0.65,0.78,0.66,0.64,0.74,0.66,3
0.0,1.067,0.68,0.78,0.69,0.87,0.61,0.79,0.55,0.8,0.69,0.79,3
0.0,1.067,0.65,0.72,0.6,0.82,0.68,0.7,0.6,0.59,0.66,0.62,3
0.0,1.067,0.68,0.76,0.65,0.88,0.55,0.75,0.59,0.76,0.72,0.71,3
0.0,1.067,0.73,0.75,0.65,0.89,0.57,0.76,0.6,0.71,0.75,0.74,3
0.0,1.067,0.65,0.77,0.62,0.9,0.6,0.79,0.54,0.75,0.69,0.76,3
10.5,1.067,0.68,0.79,0.81,0.83,0.65,0.77,0.67,0.82,0.76,0.75,3
0.0,1.067,0.72,0.78,0.69,0.92,0.64,0.8,0.7,0.73,0.8,0.73,3
0.0,1.067,0.67,0.76,0.69,0.86,0.5,0.73,0.52,0.82,0.71,0.79,3
0.0,1.067,0.73,0.74,0.61,0.88,0.57,0.74,0.6,0.65,0.73,0.69,3
0.0,1.067,0.81,0.78,0.68,0.88,0.68,0.79,0.74,0.67,0.85,0.73,3
0.0,1.067,0.76,0.75,0.67,0.94,0.65,0.8,0.7,0.69,0.8,0.71,3
0.0,1.143,0.61,0.75,0.78,0.79,0.57,0.75,0.57,0.8,0.68,0.73,3
0.0,1.067,0.65,0.7,0.58,0.84,0.63,0.71,0.59,0.59,0.67,0.64,3
0.0,1.067,0.71,0.79,0.64,0.94,0.65,0.84,0.66,0.72,0.75,0.73,3
0.0,1.067,0.67,0.77,0.59,0.88,0.62,0.78,0.64,0.66,0.74,0.71,3
0.0,1.067,0.67,0.79,0.76,0.82,0.63,0.8,0.63,0.78,0.72,0.76,3
0.0,1.067,0.62,0.78,0.57,0.84,0.66,0.75,0.54,0.7,0.66,0.73,3
0.0,1.143,0.71,0.77,0.67,0.9,0.64,0.77,0.69,0.66,0.79,0.7,3
0.0,1.067,0.64,0.75,0.64,0.84,0.55,0.71,0.51,0.76,0.66,0.72,3
0.0,1.067,0.7,0.71,0.63,0.85,0.67,0.83,0.74,0.58,0.76,0.68,3
0.0,1.067,0.72,0.8,0.65,0.92,0.73,0.85,0.74,0.66,0.8,0.74,3
0.0,1.067,0.72,0.76,0.69,0.91,0.71,0.78,0.76,0.6,0.8,0.67,3
0.0,1.067,0.67,0.84,0.71,0.89,0.65,0.77,0.66,0.79,0.79,0.77,3
0.0,1.067,0.76,0.82,0.73,0.89,0.72,0.86,0.75,0.71,0.82,0.77,3
0.0,1.067,0.61,0.76,0.67,0.86,0.56,0.74,0.5,0.81,0.64,0.73,3
0.0,1.067,0.78,0.74,0.68,0.88,0.64,0.81,0.7,0.7,0.8,0.72,3
0.0,1.067,0.72,0.8,0.64,0.93,0.68,0.82,0.7,0.7,0.79,0.73,3
0.0,1.067,0.7,0.63,0.76,0.55,0.58,0.69,0.69,0.64,0.72,0.72,3
0.0,1.067,0.74,0.71,0.6,0.87,0.65,0.72,0.68,0.54,0.75,0.63,3
0.0,1.067,0.6,0.75,0.62,0.85,0.57,0.73,0.48,0.77,0.64,0.74,3
0.0,1.067,0.69,0.78,0.62,0.91,0.67,0.82,0.67,0.66,0.75,0.71,3
0.0,1.067,0.68,0.73,0.67,0.91,0.65,0.81,0.7,0.65,0.77,0.69,3
0.0,1.067,0.63,0.74,0.67,0.85,0.54,0.75,0.59,0.77,0.69,0.69,3
0.0,1.067,0.7,0.74,0.64,0.88,0.56,0.75,0.56,0.75,0.71,0.75,3
0.0,1.067,0.74,0.63,0.53,0.63,0.61,0.58,0.62,0.57,0.67,0.61,3
0.0,1.067,0.69,0.74,0.64,0.89,0.66,0.76,0.71,0.61,0.78,0.66,3
0.0,1.143,0.76,0.78,0.65,0.94,0.69,0.86,0.71,0.68,0.78,0.76,3
0.0,1.067,0.72,0.7,0.65,0.88,0.55,0.74,0.63,0.68,0.76,0.69,3
0.0,1.067,0.71,0.77,0.62,0.89,0.67,0.78,0.72,0.62,0.78,0.68,3
0.0,1.067,0.64,0.76,0.7,0.86,0.55,0.74,0.49,0.83,0.67,0.77,3
0.0,1.143,0.69,0.75,0.67,0.91,0.6,0.76,0.64,0.68,0.77,0.71,3
0.0,1.067,0.7,0.72,0.56,0.82,0.57,0.7,0.53,0.68,0.67,0.74,3
0.0,1.067,0.67,0.74,0.61,0.9,0.67,0.79,0.74,0.6,0.78,0.66,3
0.0,1.067,0.82,0.73,0.71,0.84,0.69,0.75,0.67,0.7,0.77,0.71,3
0.0,1.067,0.68,0.7,0.64,0.84,0.64,0.72,0.59,0.62,0.67,0.64,3
0.0,1.067,0.75,0.75,0.62,0.92,0.63,0.81,0.64,0.66,0.75,0.73,3
0.0,1.067,0.65,0.75,0.56,0.86,0.69,0.73,0.62,0.58,0.72,0.66,3
0.0,1.067,0.63,0.79,0.61,0.87,0.58,0.74,0.48,0.78,0.65,0.76,3
0.0,1.067,0.67,0.79,0.66,0.88,0.65,0.83,0.59,0.76,0.71,0.78,3
0.0,1.067,0.75,0.76,0.69,0.94,0.68,0.79,0.67,0.7,0.77,0.71,3
0.0,1.067,0.71,0.81,0.68,0.92,0.68,0.82,0.72,0.7,0.8,0.75,3
5.5,1.067,0.53,0.69,0.58,0.57,0.63,0.51,0.57,0.61,0.59,0.51,4
0.0,1.067,0.66,0.73,0.53,0.62,0.88,0.65,0.75,0.46,0.71,0.57,4
0.0,1.067,0.72,0.62,0.51,0.53,0.74,0.68,0.69,0.43,0.71,0.64,4
0.0,1.067,0.61,0.71,0.47,0.65,0.87,0.61,0.74,0.4,0.67,0.49,4
0.0,1.067,0.64,0.8,0.67,0.73,0.87,0.69,0.82,0.56,0.73,0.57,4
0.0,1.067,0.58,0.69,0.62,0.61,0.65,0.53,0.61,0.59,0.65,0.53,4
0.0,1.067,0.74,0.6,0.56,0.55,0.76,0.72,0.77,0.46,0.74,0.62,4
0.0,1.067,0.69,0.69,0.5,0.59,0.91,0.7,0.78,0.41,0.7,0.58,4
0.0,1.067,0.77,0.67,0.53,0.59,0.85,0.7,0.77,0.45,0.74,0.63,4
0.0,1.067,0.7,0.74,0.55,0.67,0.94,0.71,0.8,0.46,0.74,0.6,4
0.0,1.067,0.64,0.69,0.41,0.58,0.91,0.63,0.76,0.35,0.65,0.51,4
0.0,1.067,0.64,0.77,0.45,0.67,0.83,0.63,0.7,0.47,0.65,0.54,4
0.0,1.067,0.71,0.79,0.55,0.72,0.79,0.8,0.74,0.51,0.78,0.75,4
0.0,1.067,0.65,0.68,0.54,0.58,0.88,0.67,0.76,0.45,0.7,0.58,4
0.0,1.067,0.62,0.75,0.51,0.64,0.87,0.63,0.77,0.47,0.67,0.52,4
0.0,1.067,0.63,0.7,0.49,0.66,0.9,0.63,0.74,0.44,0.66,0.52,4
0.0,1.067,0.63,0.73,0.44,0.61,0.9,0.65,0.74,0.39,0.66,0.55,4
0.0,1.067,0.6,0.74,0.49,0.64,0.88,0.59,0.73,0.41,0.65,0.48,4
0.0,1.067,0.7,0.6,0.49,0.5,0.84,0.67,0.76,0.4,0.69,0.56,4
0.0,1.067,0.72,0.64,0.52,0.55,0.86,0.69,0.77,0.42,0.74,0.6,4
0.0,1.067,0.64,0.67,0.44,0.54,0.84,0.65,0.75,0.35,0.68,0.57,4
0.0,1.067,0.6,0.71,0.61,0.69,0.76,0.6,0.73,0.5,0.67,0.49,4
0.0,1.067,0.71,0.63,0.45,0.56,0.85,0.67,0.74,0.39,0.7,0.57,4
0.0,1.067,0.67,0.71,0.5,0.61,0.92,0.67,0.8,0.42,0.7,0.54,4
0.0,1.067,0.71,0.62,0.47,0.52,0.85,0.69,0.75,0.39,0.68,0.58,4
0.0,1.067,0.63,0.7,0.53,0.67,0.82,0.62,0.77,0.45,0.68,0.49,4
0.0,1.067,0.63,0.75,0.5,0.64,0.93,0.66,0.8,0.42,0.7,0.55,4
0.0,1.067,0.75,0.72,0.6,0.61,0.9,0.73,0.83,0.49,0.77,0.64,4
0.0,1.067,0.61,0.73,0.53,0.66,0.85,0.61,0.76,0.47,0.67,0.5,4
0.0,1.067,0.65,0.75,0.52,0.62,0.93,0.69,0.8,0.45,0.71,0.59,4
0.0,1.067,0.64,0.73,0.44,0.62,0.83,0.71,0.75,0.39,0.7,0.62,4
0.0,1.067,0.66,0.77,0.53,0.71,0.81,0.61,0.67,0.53,0.69,0.57,4
7.0,1.067,0.59,0.73,0.64,0.7,0.78,0.62,0.76,0.51,0.68,0.5,4
0.0,1.067,0.64,0.76,0.47,0.68,0.9,0.62,0.74,0.43,0.67,0.52,4
0.0,1.143,0.67,0.71,0.53,0.57,0.85,0.72,0.78,0.45,0.73,0.63,4
0.0,1.067,0.76,0.65,0.56,0.6,0.86,0.74,0.8,0.46,0.75,0.62,4
7.0,1.067,0.68,0.66,0.59,0.6,0.84,0.68,0.84,0.47,0.72,0.54,4
0.0,1.067,0.73,0.56,0.47,0.51,0.79,0.66,0.72,0.38,0.68,0.56,4
0.0,1.067,0.7,0.65,0.55,0.53,0.86,0.7,0.79,0.45,0.71,0.59,4
0.0,1.143,0.53,0.77,0.6,0.64,0.72,0.57,0.65,0.62,0.62,0.54,4
0.0,1.067,0.58,0.71,0.54,0.6,0.82,0.59,0.72,0.5,0.62,0.5,4
0.0,1.067,0.65,0.77,0.49,0.68,0.92,0.66,0.77,0.45,0.69,0.56,4
0.0,1.067,0.63,0.71,0.52,0.64,0.91,0.65,0.77,0.43,0.68,0.55,4
0.0,1.067,0.63,0.82,0.54,0.71,0.78,0.65,0.68,0.61,0.68,0.61,4
0.0,1.067,0.68,0.64,0.54,0.48,0.84,0.66,0.76,0.44,0.69,0.58,4
0.0,1.067,0.67,0.62,0.49,0.49,0.83,0.67,0.74,0.4,0.68,0.58,4
0.0,1.067,0.65,0.79,0.5,0.7,0.9,0.66,0.74,0.47,0.69,0.58,4
0.0,1.067,0.6,0.77,0.53,0.69,0.86,0.59,0.7,0.5,0.65,0.52,4
0.0,1.067,0.71,0.7,0.53,0.6,0.91,0.7,0.83,0.42,0.73,0.57,4
0.0,1.067,0.62,0.77,0.55,0.71,0.85,0.6,0.71,0.5,0.66,0.53,4
2.0,1.067,0.56,0.62,0.56,0.51,0.71,0.63,0.67,0.47,0.61,0.56,4
0.0,1.067,0.7,0.8,0.55,0.7,0.78,0.79,0.72,0.53,0.77,0.75,4
0.0,1.067,0.66,0.66,0.58,0.6,0.82,0.66,0.81,0.44,0.69,0.51,4
0.0,1.067,0.64,0.74,0.51,0.68,0.86,0.62,0.76,0.47,0.68,0.51,4
0.0,1.067,0.67,0.73,0.46,0.61,0.9,0.68,0.77,0.39,0.68,0.57,4
0.0,1.067,0.72,0.72,0.52,0.65,0.8,0.79,0.76,0.47,0.75,0.71,4
0.0,1.067,0.71,0.63,0.52,0.55,0.86,0.71,0.77,0.42,0.73,0.59,4
0.0,1.067,0.53,0.74,0.54,0.59,0.67,0.61,0.58,0.59,0.57,0.56,4
0.0,1.067,0.66,0.66,0.6,0.62,0.85,0.66,0.82,0.4,0.71,0.51,4
13.5,1.067,0.72,0.76,0.58,0.74,0.91,0.73,0.81,0.49,0.76,0.6,4
0.0,1.067,0.58,0.72,0.66,0.64,0.64,0.55,0.64,0.59,0.67,0.53,4
0.0,1.067,0.73,0.69,0.54,0.58,0.82,0.73,0.74,0.46,0.73,0.66,4
0.0,1.067,0.59,0.78,0.54,0.68,0.82,0.57,0.66,0.53,0.65,0.55,4
0.0,1.067,0.69,0.74,0.49,0.62,0.88,0.7,0.76,0.44,0.7,0.62,4
0.0,1.067,0.68,0.63,0.49,0.48,0.81,0.65,0.71,0.41,0.66,0.58,4
0.0,1.067,0.73,0.63,0.5,0.55,0.85,0.71,0.76,0.42,0.72,0.6,4
0.0,1.067,0.66,0.71,0.46,0.63,0.79,0.72,0.74,0.39,0.7,0.64,4
0.0,1.067,0.62,0.68,0.43,0.58,0.9,0.64,0.74,0.37,0.65,0.53,4
0.0,1.067,0.67,0.78,0.49,0.64,0.9,0.71,0.8,0.42,0.73,0.61,4
0.0,1.067,0.6,0.71,0.44,0.59,0.91,0.6,0.74,0.38,0.63,0.48,4
0.0,1.067,0.67,0.68,0.49,0.62,0.91,0.64,0.78,0.38,0.69,0.52,4
0.0,1.067,0.66,0.72,0.58,0.55,0.84,0.73,0.77,0.5,0.71,0.65,4
0.0,1.067,0.68,0.75,0.54,0.72,0.9,0.67,0.81,0.45,0.72,0.55,4
0.0,1.067,0.65,0.66,0.55,0.63,0.85,0.62,0.81,0.38,0.69,0.47,4
0.0,1.067,0.57,0.76,0.5,0.64,0.7,0.58,0.59,0.6,0.61,0.6,4
0.0,1.067,0.68,0.63,0.47,0.52,0.83,0.66,0.74,0.39,0.66,0.57,4
0.0,1.067,0.65,0.75,0.46,0.62,0.89,0.61,0.75,0.41,0.68,0.56,4
0.0,1.067,0.63,0.74,0.43,0.64,0.85,0.66,0.74,0.38,0.69,0.59,4
0.0,1.067,0.67,0.66,0.51,0.6,0.84,0.67,0.81,0.41,0.69,0.52,4
0.0,1.067,0.65,0.72,0.5,0.61,0.87,0.65,0.78,0.47,0.67,0.54,4
0.0,1.067,0.76,0.67,0.54,0.59,0.83,0.71,0.72,0.48,0.75,0.67,4
0.0,1.067,0.62,0.71,0.47,0.67,0.88,0.6,0.74,0.38,0.66,0.49,4
0.0,1.143,0.72,0.64,0.57,0.52,0.85,0.69,0.81,0.45,0.72,0.59,4
10.0,1.067,0.61,0.75,0.53,0.66,0.84,0.62,0.74,0.51,0.68,0.53,4
0.0,1.067,0.62,0.77,0.5,0.69,0.86,0.6,0.69,0.47,0.66,0.54,4
0.0,1.067,0.69,0.63,0.48,0.67,0.81,0.62,0.8,0.34,0.68,0.46,4
0.0,1.067,0.61,0.66,0.54,0.69,0.76,0.57,0.71,0.41,0.64,0.46,4
0.0,1.067,0.67,0.54,0.51,0.43,0.75,0.61,0.69,0.42,0.63,0.53,4
0.0,1.067,0.73,0.63,0.55,0.53,0.85,0.71,0.8,0.44,0.72,0.6,4
5.5,1.067,0.64,0.68,0.57,0.65,0.82,0.63,0.79,0.45,0.68,0.49,4
0.0,1.067,0.71,0.69,0.49,0.59,0.91,0.7,0.8,0.4,0.7,0.58,4
2.0,1.067,0.64,0.73,0.58,0.66,0.86,0.63,0.78,0.48,0.68,0.52,4
0.0,1.067,0.7,0.68,0.48,0.55,0.91,0.69,0.79,0.39,0.7,0.57,4
0.0,1.067,0.66,0.66,0.48,0.52,0.89,0.66,0.77,0.39,0.68,0.56,4
0.0,1.067,0.6,0.75,0.52,0.65,0.91,0.62,0.77,0.43,0.66,0.5,4
0.0,1.067,0.65,0.72,0.54,0.66,0.87,0.65,0.8,0.42,0.69,0.5,4
0.0,1.067,0.64,0.72,0.58,0.73,0.76,0.61,0.74,0.47,0.7,0.51,4
0.0,1.067,0.66,0.81,0.53,0.7,0.84,0.76,0.75,0.49,0.74,0.69,4
0.0,1.067,0.68,0.66,0.51,0.57,0.86,0.67,0.8,0.45,0.7,0.56,4
0.0,1.067,0.7,0.63,0.48,0.53,0.83,0.68,0.75,0.39,0.71,0.6,4
0.0,1.067,0.58,0.66,0.7,0.61,0.54,0.78,0.64,0.68,0.66,0.72,5
0.0,1.067,0.68,0.87,0.71,0.88,0.77,0.82,0.75,0.73,0.8,0.75,5
0.0,1.067,0.8,0.75,0.72,0.77,0.72,0.89,0.77,0.7,0.83,0.82,5
0.0,1.067,0.71,0.72,0.75,0.71,0.6,0.83,0.62,0.72,0.73,0.81,5
0.0,1.067,0.7,0.72,0.74,0.75,0.59,0.85,0.59,0.74,0.72,0.82,5
0.0,1.067,0.84,0.82,0.67,0.83,0.76,0.92,0.78,0.68,0.87,0.85,5
0.0,1.067,0.78,0.7,0.6,0.73,0.66,0.86,0.65,0.65,0.76,0.81,5
0.0,1.067,0.79,0.68,0.68,0.82,0.62,0.91,0.71,0.64,0.79,0.78,5
0.0,1.067,0.74,0.82,0.72,0.76,0.73,0.89,0.73,0.75,0.8,0.86,5
0.0,1.067,0.7,0.69,0.73,0.72,0.54,0.82,0.54,0.75,0.7,0.82,5
0.0,1.067,0.8,0.77,0.73,0.84,0.71,0.91,0.79,0.65,0.83,0.79,5
0.0,1.067,0.75,0.74,0.65,0.79,0.67,0.86,0.64,0.67,0.72,0.78,5
4.0,1.067,0.86,0.72,0.68,0.84,0.67,0.89,0.73,0.65,0.83,0.79,5
0.0,1.067,0.78,0.67,0.67,0.8,0.64,0.89,0.75,0.61,0.81,0.77,5
0.0,1.067,0.77,0.76,0.73,0.83,0.74,0.89,0.79,0.64,0.84,0.75,5
0.0,1.067,0.83,0.68,0.68,0.83,0.68,0.91,0.77,0.62,0.82,0.77,5
8.5,1.067,0.7,0.73,0.7,0.71,0.66,0.85,0.66,0.69,0.76,0.79,5
0.0,1.067,0.85,0.71,0.66,0.81,0.72,0.93,0.81,0.6,0.85,0.76,5
0.0,1.067,0.83,0.73,0.66,0.83,0.74,0.91,0.82,0.56,0.87,0.77,5
50.0,1.067,0.79,0.65,0.66,0.76,0.68,0.86,0.77,0.56,0.82,0.7,5
0.0,1.067,0.63,0.7,0.59,0.75,0.69,0.75,0.6,0.56,0.66,0.64,5
0.0,1.067,0.82,0.78,0.66,0.79,0.76,0.88,0.86,0.61,0.86,0.77,5
0.0,1.067,0.82,0.73,0.67,0.79,0.68,0.9,0.8,0.65,0.85,0.8,5
0.0,1.067,0.74,0.72,0.72,0.76,0.62,0.88,0.63,0.72,0.75,0.84,5
0.0,1.067,0.78,0.78,0.68,0.74,0.71,0.88,0.77,0.7,0.84,0.82,5
0.0,1.067,0.82,0.7,0.66,0.83,0.63,0.91,0.72,0.67,0.8,0.8,5
6.0,1.067,0.83,0.76,0.66,0.79,0.73,0.87,0.72,0.66,0.81,0.82,5
0.0,1.067,0.82,0.65,0.68,0.79,0.65,0.86,0.76,0.58,0.8,0.71,5
0.0,1.067,0.83,0.76,0.68,0.83,0.71,0.92,0.79,0.68,0.85,0.81,5
4.0,1.067,0.54,0.68,0.72,0.65,0.58,0.64,0.65,0.64,0.64,0.58,5
0.0,1.067,0.68,0.73,0.67,0.74,0.71,0.81,0.66,0.6,0.73,0.72,5
0.0,1.067,0.79,0.71,0.62,0.74,0.63,0.86,0.64,0.65,0.74,0.82,5
0.0,1.067,0.78,0.75,0.68,0.73,0.77,0.86,0.85,0.61,0.85,0.75,5
0.0,1.067,0.83,0.74,0.66,0.82,0.68,0.9,0.74,0.63,0.82,0.79,5
0.0,1.067,0.7,0.71,0.65,0.7,0.61,0.81,0.57,0.7,0.69,0.8,5
0.0,1.067,0.79,0.78,0.67,0.77,0.73,0.87,0.72,0.67,0.8,0.82,5
12.0,1.067,0.7,0.63,0.64,0.67,0.55,0.78,0.53,0.65,0.65,0.75,5
0.0,1.143,0.83,0.71,0.67,0.79,0.73,0.92,0.83,0.6,0.87,0.78,5
0.0,1.067,0.76,0.73,0.63,0.8,0.66,0.89,0.68,0.63,0.77,0.78,5
0.0,1.067,0.76,0.83,0.75,0.81,0.7,0.9,0.7,0.76,0.8,0.86,5
0.0,1.067,0.76,0.77,0.65,0.78,0.69,0.92,0.74,0.67,0.8,0.84,5
4.0,1.067,0.64,0.77,0.64,0.78,0.63,0.76,0.56,0.7,0.68,0.75,5
0.0,1.067,0.65,0.66,0.63,0.66,0.59,0.82,0.68,0.66,0.72,0.77,5
0.0,1.067,0.82,0.74,0.67,0.85,0.68,0.89,0.77,0.62,0.82,0.77,5
0.0,1.067,0.7,0.67,0.65,0.75,0.62,0.87,0.62,0.65,0.71,0.77,5
10.0,1.067,0.71,0.74,0.59,0.76,0.7,0.76,0.62,0.58,0.76,0.77,5
0.0,1.067,0.84,0.79,0.65,0.8,0.74,0.88,0.78,0.62,0.86,0.81,5
15.5,1.067,0.73,0.73,0.72,0.74,0.58,0.85,0.57,0.75,0.73,0.85,5
0.0,1.067,0.85,0.76,0.69,0.85,0.71,0.94,0.79,0.66,0.85,0.8,5
0.0,1.067,0.79,0.74,0.67,0.81,0.7,0.9,0.72,0.62,0.8,0.77,5
12.0,1.067,0.77,0.74,0.65,0.8,0.65,0.89,0.65,0.71,0.78,0.84,5
0.0,1.067,0.8,0.78,0.67,0.8,0.73,0.93,0.79,0.64,0.84,0.83,5
0.0,1.067,0.77,0.67,0.63,0.79,0.59,0.88,0.64,0.63,0.74,0.78,5
0.0,1.067,0.74,0.76,0.64,0.78,0.7,0.91,0.77,0.62,0.81,0.77,5
